Stage	Pen	Size	Location	Ram ID	Ram Name	Ram Weight	Ram Hair %	Ram Coat Observed	Ewe Count	FAMACHA Criteria	FEC Criteria	Shed Criteria	Shelter	Notes
1	Pen 3	largest (~4x Tree Fort)	SE corner, east side	00110	00110	?	?	?	7	<3	<500	>25%	standard	287 lbs, 12.5% hair, extra wooly but big and meaty. Starts converting wool ewes.
2	Tree Fort	smallest	east side, between Goose Pen and Pen 4	gigi-2025-ram	Gigis 2025 Ram	?	?	?	5	<3	<400	>35%	best on property	Kelsier x GG, ~50% hair, wooly. 50% Katahdin from NSIP sire. Tests Kelsier genetics.
3	Pen 4	large	east side	buck	Buck	270.8	50	mixed	9	<3	<350	>50%	standard	Buck (271 lbs, 50% Kat/48% Awassi/2% EF). Promoted from Pen 5. Better parasites than Rocky whom he r
4	Pen 5	medium-large	east side	serendipity-twin-ram	Serendipity White Ram Twin	?	?	?	8	<2	<300	>65%	standard	Serendipity White Ram Twin (Kelsier x Serendipity). Stage 4. PROVISIONAL.
5	Pen 6	medium	NE corner, east side	merrie	Merrieweather	200	50.0	hair	3	<2	<250	>80%	standard	Merrie (200 lbs, observed shedder). Florida heritage. Stage 5 refinement.
6	Pen 1	medium-small	SW corner, west side (isolated)	charlie-ram	Charlie	232.2	100.0	hair	8	<2	<200	>90%	solid	Charlie (232 lbs, 100% hair Kat/BHD/ABB/WH). Moved from Pen 2 to Pen 1 when Windlestone ram took eli
7	Pen 2	small	SW corner, west side (isolated, most secure)	windlestone-kat-dorper	Windlestone Kat/Dorper Ram	None	100.0	hair	0	1-2 only	<150	>95%	solid, most secure	Windlestone Kat/Dorper (50% top Kat x 50% elite Dorper). 100% hair, FAMACHA 1 for 1 year. ATTITUDE —
outside	Goose Pen	small-medium	east side, between Pen 3 and Tree Fort	mc08-ram	MC08	190	0	wool	0				standard	190 lbs, unknown breed, very wooly. Awassi dairy line only. Outside main pipeline.
